name,height,width,channels,device,stego_method,simulator,alpha,demosaic,color,color_strategy,beta_hat
images/6.png,512,512,,,,,,,,,
images/7.png,512,512,,,,,,,,,
images/9.png,512,512,,,,,,,,,
stego_LSBR_alpha_1.0_independent_images/6.png,512,512,,,LSBR,mi,1.0,,,independent,
stego_LSBR_alpha_1.0_independent_images/7.png,512,512,,,LSBR,mi,1.0,,,independent,
stego_LSBR_alpha_1.0_independent_images/9.png,512,512,,,LSBR,mi,1.0,,,independent,
stego_LSBR_alpha_0.4_independent_images/6.png,512,512,,,LSBR,mi,0.4,,,independent,
stego_LSBR_alpha_0.4_independent_images/7.png,512,512,,,LSBR,mi,0.4,,,independent,
stego_LSBR_alpha_0.4_independent_images/9.png,512,512,,,LSBR,mi,0.4,,,independent,
stego_LSBR_alpha_0.2_independent_images/6.png,512,512,,,LSBR,mi,0.2,,,independent,
stego_LSBR_alpha_0.2_independent_images/7.png,512,512,,,LSBR,mi,0.2,,,independent,
stego_LSBR_alpha_0.2_independent_images/8.png,512,512,,,LSBR,mi,0.2,,,independent,
stego_LSBR_alpha_0.1_independent_images/6.png,512,512,,,LSBR,mi,0.1,,,independent,
stego_LSBR_alpha_0.1_independent_images/7.png,512,512,,,LSBR,mi,0.1,,,independent,
stego_LSBR_alpha_0.1_independent_images/9.png,512,512,,,LSBR,mi,0.1,,,independent,
stego_LSBR_alpha_0.05_independent_images/6.png,512,512,,,LSBR,mi,0.05,,,independent,
stego_LSBR_alpha_0.05_independent_images/7.png,512,512,,,LSBR,mi,0.05,,,independent,
stego_LSBR_alpha_0.05_independent_images/9.png,512,512,,,LSBR,mi,0.05,,,independent,
stego_LSBR_alpha_0.01_independent_images/6.png,512,512,,,LSBR,mi,0.01,,,independent,
stego_LSBR_alpha_0.01_independent_images/7.png,512,512,,,LSBR,mi,0.01,,,independent,
stego_LSBR_alpha_0.01_independent_images/9.png,512,512,,,LSBR,mi,0.01,,,independent,
stego_HILLR_alpha_0.4_independent_images/6.png,512,512,,,HILLR,mi,0.4,,,independent,
stego_HILLR_alpha_0.4_independent_images/7.png,512,512,,,HILLR,mi,0.4,,,independent,
stego_HILLR_alpha_0.4_independent_images/9.png,512,512,,,HILLR,mi,0.4,,,independent,
stego_HILLR_alpha_0.2_independent_images/6.png,512,512,,,HILLR,mi,0.2,,,independent,
stego_HILLR_alpha_0.2_independent_images/7.png,512,512,,,HILLR,mi,0.2,,,independent,
stego_HILLR_alpha_0.2_independent_images/9.png,512,512,,,HILLR,mi,0.2,,,independent,
stego_HILLR_alpha_0.1_independent_images/6.png,512,512,,,HILLR,mi,0.1,,,independent,
stego_HILLR_alpha_0.1_independent_images/7.png,512,512,,,HILLR,mi,0.1,,,independent,
stego_HILLR_alpha_0.1_independent_images/9.png,512,512,,,HILLR,mi,0.1,,,independent,
stego_HILLR_alpha_0.05_independent_images/6.png,512,512,,,HILLR,mi,0.05,,,independent,
stego_HILLR_alpha_0.05_independent_images/7.png,512,512,,,HILLR,mi,0.05,,,independent,
stego_HILLR_alpha_0.05_independent_images/9.png,512,512,,,HILLR,mi,0.05,,,independent,
stego_HILLR_alpha_0.01_independent_images/6.png,512,512,,,HILLR,mi,0.01,,,independent,
stego_HILLR_alpha_0.01_independent_images/7.png,512,512,,,HILLR,mi,0.01,,,independent,
stego_HILLR_alpha_0.01_independent_images/9.png,512,512,,,HILLR,mi,0.01,,,independent,

